geo_fips,geo_name,description,year,value,state_abbr.x,state_abbr.y
21000,Kentucky,Real GDP (millions of chained 2017 dollars) 1/,2019,211783.1,KY,KY
21000,Kentucky,Real GDP (millions of chained 2017 dollars) 1/,2020,206049.6,KY,KY
21000,Kentucky,Real GDP (millions of chained 2017 dollars) 1/,2021,215133.2,KY,KY
21000,Kentucky,Real GDP (millions of chained 2017 dollars) 1/,2022,219755.6,KY,KY
21000,Kentucky,Real GDP (millions of chained 2017 dollars) 1/,2023,224418,KY,KY
21000,Kentucky,Real per capita personal income 4/,2017,44983,KY,KY
21000,Kentucky,Real per capita personal income 4/,2018,45924,KY,KY
21000,Kentucky,Real per capita personal income 4/,2019,46959,KY,KY
21000,Kentucky,Real per capita personal income 4/,2020,50615,KY,KY
21000,Kentucky,Real per capita personal income 4/,2021,53332,KY,KY
21000,Kentucky,Real per capita personal income 4/,2022,50831,KY,KY
21000,Kentucky,Real per capita personal income 4/,2023,50820,KY,KY
21000,Kentucky,Total employment (number of jobs),2017,2520120,KY,KY
21000,Kentucky,Total employment (number of jobs),2018,2546178,KY,KY
21000,Kentucky,Total employment (number of jobs),2019,2549331,KY,KY
21000,Kentucky,Total employment (number of jobs),2020,2470655,KY,KY
21000,Kentucky,Total employment (number of jobs),2021,2556381,KY,KY
21000,Kentucky,Total employment (number of jobs),2022,2637171,KY,KY
21000,Kentucky,Total employment (number of jobs),2023,2709875,KY,KY
22000,Louisiana,Real GDP (millions of chained 2017 dollars) 1/,2017,239830.7,LA,LA
