fiscal_year,county_fips,state,agency,naics_code,naics_description,is_small_business,is_woman_owned,is_veteran_owned,total_obligation
2021,53011,WA,Department of Defense,336310,MOTOR VEHICLE GASOLINE ENGINE AND ENGINE PARTS MANUFACTURING,true,false,false,24079.719999999998
2021,39049,OH,Department of Defense,339991,"GASKET, PACKING, AND SEALING DEVICE MANUFACTURING",true,true,true,36190.0
2021,36119,NY,Department of Defense,334220,RADIO AND TELEVISION BROADCASTING AND WIRELESS COMMUNICATIONS EQUIPMENT MANUFACTURING,true,false,true,373804.52
2021,08031,CO,Department of Defense,236220,COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION,true,true,false,137292.11
2021,51059,VA,Department of Defense,335312,MOTOR AND GENERATOR MANUFACTURING,true,false,false,370450.48
2021,04013,AZ,Department of Defense,332994,"SMALL ARMS, ORDNANCE, AND ORDNANCE ACCESSORIES MANUFACTURING",true,false,false,17471492.250000004
2021,36103,NY,Department of Defense,336330,MOTOR VEHICLE STEERING AND SUSPENSION COMPONENTS (EXCEPT SPRING) MANUFACTURING,true,false,false,192108.03
2021,42017,PA,Department of Defense,334512,"AUTOMATIC ENVIRONMENTAL CONTROL MANUFACTURING FOR RESIDENTIAL, COMMERCIAL, AND APPLIANCE USE",true,false,false,480418.12
2021,21071,KY,Department of Defense,333618,OTHER ENGINE EQUIPMENT MANUFACTURING,true,false,false,185916.7
2021,42029,PA,Department of Defense,335312,MOTOR AND GENERATOR MANUFACTURING,true,false,true,683397.43
2021,09001,CT,Department of Defense,339991,"GASKET, PACKING, AND SEALING DEVICE MANUFACTURING",true,false,false,675.8
2021,06001,CA,Department of Defense,333912,AIR AND GAS COMPRESSOR MANUFACTURING,true,false,false,70562.74
2021,51760,VA,Department of Defense,336390,OTHER MOTOR VEHICLE PARTS MANUFACTURING,true,true,false,93751.72999999998
2021,36103,NY,Department of Defense,333611,TURBINE AND TURBINE GENERATOR SET UNITS MANUFACTURING,true,false,false,5724423.28
2021,06073,CA,Department of Defense,336413,OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,true,false,false,1152944.7
2021,44007,RI,Department of Defense,332911,INDUSTRIAL VALVE MANUFACTURING,true,false,false,36531.0
2021,06037,CA,Department of Defense,333914,"MEASURING, DISPENSING, AND OTHER PUMPING EQUIPMENT MANUFACTURING",true,false,false,2833594.4299999997
2021,12086,FL,General Services Administration,339944,CARBON PAPER AND INKED RIBBON MANUFACTURING,true,false,false,9991.520000000002
2021,36103,NY,Department of Defense,334419,OTHER ELECTRONIC COMPONENT MANUFACTURING,true,false,true,1068037.9400000002
2021,34031,NJ,Department of Defense,334416,"CAPACITOR, RESISTOR, COIL, TRANSFORMER, AND OTHER INDUCTOR MANUFACTURING",true,false,false,300309.44999999995
2021,18039,IN,Department of Defense,332994,"SMALL ARMS, ORDNANCE, AND ORDNANCE ACCESSORIES MANUFACTURING",true,false,true,215726.75
2021,12031,FL,Department of Defense,339113,SURGICAL APPLIANCE AND SUPPLIES MANUFACTURING,true,false,false,33250.21
2021,06029,CA,Department of Defense,325510,PAINT AND COATING MANUFACTURING,true,true,false,26155.63
2021,51013,VA,Department of the Interior,561611,INVESTIGATION SERVICES,true,true,false,0.0
2021,48453,TX,Department of Defense,335313,SWITCHGEAR AND SWITCHBOARD APPARATUS MANUFACTURING,true,true,false,71718.68999999999
2021,39005,OH,Department of Defense,336211,MOTOR VEHICLE BODY MANUFACTURING,true,false,false,59752.5
2021,17031,IL,Department of Defense,336310,MOTOR VEHICLE GASOLINE ENGINE AND ENGINE PARTS MANUFACTURING,true,false,false,135691.32
2021,17197,IL,Department of Defense,333618,OTHER ENGINE EQUIPMENT MANUFACTURING,true,true,false,117333.83
2021,38059,ND,Department of Agriculture,336112,LIGHT TRUCK AND UTILITY VEHICLE MANUFACTURING,true,false,false,23195.0
2021,40143,OK,Department of Defense,334417,ELECTRONIC CONNECTOR MANUFACTURING,true,false,false,277713.0
2021,55135,WI,Department of Defense,336390,OTHER MOTOR VEHICLE PARTS MANUFACTURING,true,false,false,792918.0
2021,36037,NY,Department of Defense,332996,FABRICATED PIPE AND PIPE FITTING MANUFACTURING,true,false,false,107789.0
2021,34039,NJ,Department of Defense,333618,OTHER ENGINE EQUIPMENT MANUFACTURING,true,false,false,762318.6600000001
2021,26027,MI,Department of Defense,336370,MOTOR VEHICLE METAL STAMPING,true,false,true,62309.94
2021,51650,VA,Department of Veterans Affairs,541330,ENGINEERING SERVICES,true,false,true,2791916.38
2021,51059,VA,Smithsonian Institution,611420,COMPUTER TRAINING,true,false,false,1433721.28
2021,31131,NE,Department of Defense,237990,OTHER HEAVY AND CIVIL ENGINEERING CONSTRUCTION,true,false,false,3044210.0
2021,12091,FL,Department of Defense,236220,COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION,true,false,true,1729760.88
2021,47157,TN,Department of Veterans Affairs,561320,TEMPORARY HELP SERVICES,true,false,true,8854232.96
2021,32015,NV,Department of the Interior,236118,RESIDENTIAL REMODELERS,true,false,true,676300.0
2021,31153,NE,Department of Defense,337121,UPHOLSTERED HOUSEHOLD FURNITURE MANUFACTURING,true,false,false,14000.0
2021,40031,OK,General Services Administration,236220,COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION,true,false,false,42145.76
2021,49011,UT,Department of Defense,334111,ELECTRONIC COMPUTER MANUFACTURING,true,true,false,684433.97
2021,29095,MO,Department of Defense,335314,RELAY AND INDUSTRIAL CONTROL MANUFACTURING,true,false,false,2170198.09
2021,53033,WA,Department of Veterans Affairs,511210,SOFTWARE PUBLISHERS,true,false,false,131700.04
2021,08041,CO,Department of Defense,334516,ANALYTICAL LABORATORY INSTRUMENT MANUFACTURING,true,false,false,95894.0
2021,04027,AZ,Department of the Interior,325120,INDUSTRIAL GAS MANUFACTURING,true,false,true,33287.74
2021,24031,MD,Department of Health and Human Services,511210,SOFTWARE PUBLISHERS,true,false,true,120286.84
2021,34025,NJ,Department of the Interior,236220,COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION,true,false,false,634991.16
2021,42017,PA,Department of Defense,332613,SPRING MANUFACTURING,true,true,false,56881.4
2021,34023,NJ,Department of Defense,541712,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT BIOTECHNOLOGY)",true,false,false,22303258.2
2021,41051,OR,Department of Justice,339940,OFFICE SUPPLIES (EXCEPT PAPER) MANUFACTURING,true,false,true,115972.8
2021,37045,NC,Department of Defense,811310,COMMERCIAL AND INDUSTRIAL MACHINERY AND EQUIPMENT (EXCEPT AUTOMOTIVE AND ELECTRONIC) REPAIR AND MAINTENANCE,true,false,false,509912.25
2021,37183,NC,Department of State,561210,FACILITIES SUPPORT SERVICES,true,false,true,2271343.8499999996
2021,48141,TX,Department of Homeland Security,238990,ALL OTHER SPECIALTY TRADE CONTRACTORS,true,true,false,139508.82
2021,38077,ND,Department of the Interior,541620,ENVIRONMENTAL CONSULTING SERVICES,true,false,false,68011.04
