fiscal_year,county_fips,state,agency,naics_code,naics_description,is_small_business,is_woman_owned,is_veteran_owned,is_minority_owned,total_obligation
2022,45019,SC,Department of Defense,236220,COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION,true,false,false,false,16914713.15
2022,40065,OK,Department of Defense,336413,OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,true,false,true,false,7308695.720000001
2022,13089,GA,Department of Defense,541720,RESEARCH AND DEVELOPMENT IN THE SOCIAL SCIENCES AND HUMANITIES,true,true,false,false,521408.9
2022,06001,CA,Department of Defense,336611,SHIP BUILDING AND REPAIRING,true,false,false,false,69737286.03
2022,51059,VA,Department of the Treasury,333244,PRINTING MACHINERY AND EQUIPMENT MANUFACTURING,true,true,false,false,141633.58000000002
2022,51179,VA,Department of Justice,562910,REMEDIATION SERVICES,true,false,false,false,50000.0
2022,42003,PA,Department of Defense,333415,AIR-CONDITIONING AND WARM AIR HEATING EQUIPMENT AND COMMERCIAL AND INDUSTRIAL REFRIGERATION EQUIPMENT MANUFACTURING,true,false,false,false,385.0
2022,29189,MO,General Services Administration,561730,LANDSCAPING SERVICES,true,false,false,false,66071.72
2022,25017,MA,Department of Defense,541512,COMPUTER SYSTEMS DESIGN SERVICES,true,false,false,false,11368424.67
2022,13089,GA,Department of Health and Human Services,443120,COMPUTER AND SOFTWARE STORES,true,true,false,false,12565840.230000002
2022,41051,OR,Department of Defense,541690,OTHER SCIENTIFIC AND TECHNICAL CONSULTING SERVICES,true,true,false,false,757881.4400000001
2022,11001,DC,Department of Homeland Security,541511,CUSTOM COMPUTER PROGRAMMING SERVICES,true,true,false,true,79659747.46
2022,48121,TX,Department of Homeland Security,541519,OTHER COMPUTER RELATED SERVICES,true,false,false,false,129193.92
2022,51650,VA,Department of Defense,334111,ELECTRONIC COMPUTER MANUFACTURING,true,false,false,false,4556897.05
2022,06111,CA,General Services Administration,325612,POLISH AND OTHER SANITATION GOOD MANUFACTURING,true,false,false,false,136064.15000000002
2022,51660,VA,Department of Justice,332994,"SMALL ARMS, ORDNANCE, AND ORDNANCE ACCESSORIES MANUFACTURING",true,false,false,false,71499.54999999999
2022,24003,MD,Department of Defense,238190,"OTHER FOUNDATION, STRUCTURE, AND BUILDING EXTERIOR CONTRACTORS",true,true,false,true,189794.06
2022,51059,VA,Department of Defense,517110,WIRED TELECOMMUNICATIONS CARRIERS,true,false,true,false,59987994.24999999
2022,37133,NC,Department of Defense,561492,COURT REPORTING AND STENOTYPE SERVICES,true,false,true,true,20627.81
2022,48439,TX,Department of the Treasury,541330,ENGINEERING SERVICES,true,false,false,true,5002210.2
2022,11001,DC,Department of the Treasury,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,true,true,false,false,4147912.33
2022,11001,DC,Department of Defense,561492,COURT REPORTING AND STENOTYPE SERVICES,true,false,false,false,275103.0
2022,24031,MD,Department of Health and Human Services,334510,ELECTROMEDICAL AND ELECTROTHERAPEUTIC APPARATUS MANUFACTURING,true,true,false,true,339030.23
2022,06037,CA,Department of Homeland Security,541519,OTHER COMPUTER RELATED SERVICES,true,false,false,false,557432.52
2022,39151,OH,Department of Veterans Affairs,333318,OTHER COMMERCIAL AND SERVICE INDUSTRY MACHINERY MANUFACTURING,true,false,true,false,763556.4
2022,51059,VA,Department of Defense,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,true,true,false,false,21745161.52
2022,51059,VA,Department of Commerce,541519,OTHER COMPUTER RELATED SERVICES,true,true,false,false,7264650.43
2022,06029,CA,Department of Defense,334310,AUDIO AND VIDEO EQUIPMENT MANUFACTURING,true,true,false,true,105413.41
2022,12091,FL,Department of Defense,423450,"MEDICAL, DENTAL, AND HOSPITAL EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS",true,true,true,false,2411935.0999999996
2022,13113,GA,Department of Defense,541512,COMPUTER SYSTEMS DESIGN SERVICES,true,false,false,true,3978539.84
2022,22103,LA,Department of Defense,332510,HARDWARE MANUFACTURING,true,false,false,false,942272.1700000002
2022,31109,NE,Department of Defense,339944,CARBON PAPER AND INKED RIBBON MANUFACTURING,true,false,false,false,1236729.98
2022,08041,CO,Department of Homeland Security,541519,OTHER COMPUTER RELATED SERVICES,true,false,false,false,6172882.630000001
2022,47187,TN,Department of Defense,339113,SURGICAL APPLIANCE AND SUPPLIES MANUFACTURING,true,false,true,false,105133.15000000002
2022,51550,VA,Department of Defense,335999,ALL OTHER MISCELLANEOUS ELECTRICAL EQUIPMENT AND COMPONENT MANUFACTURING,true,true,false,false,1289608.7600000002
2022,51700,VA,Department of Transportation,483111,DEEP SEA FREIGHT TRANSPORTATION,true,false,false,false,37919138.81
2022,11001,DC,Institute of Museum and Library Services,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,true,true,false,false,85440.0
2022,48439,TX,Department of Defense,335999,ALL OTHER MISCELLANEOUS ELECTRICAL EQUIPMENT AND COMPONENT MANUFACTURING,true,false,true,false,77866.71
2022,24037,MD,Department of Defense,541330,ENGINEERING SERVICES,true,false,false,false,304899696.64
2022,36059,NY,Department of Defense,333241,FOOD PRODUCT MACHINERY MANUFACTURING,true,false,true,false,423543.0
2022,27053,MN,General Services Administration,541990,"ALL OTHER PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",true,true,true,true,566504.3200000001
2022,29047,MO,Department of Defense,237990,OTHER HEAVY AND CIVIL ENGINEERING CONSTRUCTION,true,false,true,false,1503411.29
